Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-03-20,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-2.99,,Shared
2026-03-19,Chase Bank,Other Income,Liquid House Down Payment (...3094),Chase Bank (Account ****3910) Deposit DEPOSIT,,5000.00,,Shared
2026-03-19,Carl's Jr.,Restaurants & Bars,CREDIT CARD (...6714),CARLS JR 1100087,,-21.38,,Shared
2026-03-19,Netflix,Entertainment & Recreation,Venture X (...4373),Netflix.com,,-24.99,,Shared
2026-03-19,Venmo,Transfer,Primary Checking (...3910),VENMO PAYMENT 1049019646809 WEB ID: 3264681992,,-24.00,,Shared
2026-03-19,Wealthfront,Transfer,Primary Checking (...3910),Wealthfront EDI PYMNTS B28E2243423E46 WEB ID: 4271967207,,-5000.00,,Shared
2026-03-18,Target,Shopping,Blue Cash Preferred® (...4000),TARGET.COM 800-591-3869 MN,,-93.72,,Shared
2026-03-18,Target,Shopping,CREDIT CARD (...6714),TARGET        00033597,,-5.48,,Shared
2026-03-18,Amazon,Shopping,Venture X (...4373),AMAZON RETA* BD66Z5G41,,-17.51,,Shared
2026-03-17,Automated Transaction,Uncategorized,Individual Investment Account (...4792),automated transaction -,,1.63,,Shared
2026-03-17,Washos,Personal,Primary Checking (...3910),WASHOS.COM WASHOS.COM CA 03/17,,-109.00,,Shared
2026-03-17,Washos,Personal,Primary Checking (...3910),WASHOS.COM WASHOS.COM CA 03/17,,-27.25,,Shared
2026-03-17,Redemption From Core Account Fidelity Government Money Market (Spaxx) Morning Trade (Cash),Transfer,Individual - TOD (...*****4709),REDEMPTION FROM CORE ACCOUNT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) MORNING TRADE (Cash),,499.82,,Shared
2026-03-17,Zelle,Transfer,Primary Checking (...3910),Zelle payment from KATRINA LAURON 28463432989,,3077.00,,Shared
2026-03-17,American Express,Credit Card Payment,Primary Checking (...3910),AMERICAN EXPRESS ACH PMT W8578 WEB ID: 2005032111,,-1138.68,,Shared
2026-03-17,Capital One,Credit Card Payment,Primary Checking (...3910),CAPITAL ONE ONLINE PMT CA01506E95982E0 WEB ID: 9279744391,,-4714.43,,Shared
2026-03-17,Interest Payment,Interest,CHASE SAVINGS (...3959),INTEREST PAYMENT,,0.01,,Shared
2026-03-17,Capital One,Credit Card Payment,Venture X (...4373),CAPITAL ONE ONLINE PYMT,,4714.43,,Shared
2026-03-16,Zutra Water Lincoln,Water,Blue Cash Preferred® (...4000),ZUTRA WATER LINCOLN HEIGH CA,,-33.69,,Shared
2026-03-16,Whole Foods,Groceries,Blue Cash Preferred® (...4000),WHOLEFDS FFX 10177 0LOS ANGELES CA,,-57.86,,Shared
2026-03-16,Payment,Credit Card Payment,CREDIT CARD (...6714),Payment Thank You - Web,,2060.49,,Shared
2026-03-16,Amazon,Shopping,CREDIT CARD (...6714),AMAZON MKTPL*BD2YE7NF1,,-15.35,,Shared
2026-03-16,Chase,Credit Card Payment,Primary Checking (...3910),Payment to Chase card ending in 6714 03/17,,-2060.49,,Shared
2026-03-16,Payment,Credit Card Payment,Blue Cash Preferred® (...4000),ONLINE PAYMENT - THANK YOU,,1138.68,,Shared
2026-03-16,Electronic Funds Transfer Received (Cash),Uncategorized,Individual - TOD (...*****4709),Electronic Funds Transfer Received (Cash),,500.00,,Shared
2026-03-16,You Bought Ex Div Date 03/20/26record Date 03/20/26payable Dte 04/30/26 State Street SPDR S&p 500 Etf Units (Spy) (Cash),Buy,Individual - TOD (...*****4709),YOU BOUGHT EX-DIV DATE 03/20/26RECORD DATE 03/20/26PAYABLE DTE 04/30/26 STATE STREET SPDR S&P 500 ETF UNITS (SPY) (Cash),,-499.82,,Shared
2026-03-16,Purchase Into Core Account Fidelity Government Money Market (Spaxx) Morning Trade (Cash),Uncategorized,Individual - TOD (...*****4709),PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) MORNING TRADE (Cash),,-500.00,,Shared
2026-03-16,Tondo,Restaurants & Bars,Venture X (...4373),TST*TONDO,,-60.96,,Shared
2026-03-16,Alchemist Coffee Proj,Coffee Shops,Venture X (...4373),SQ *ALCHEMIST COFFEE PROJ,,-13.08,,Shared
2026-03-16,Uber,Taxi & Ride Shares,Venture X (...4373),UBER *TRIP,,-38.79,,Shared
2026-03-16,Uber,Taxi & Ride Shares,Venture X (...4373),UBER *TRIP,,-36.97,,Shared
2026-03-16,Sorry Not Sorry,Restaurants & Bars,Venture X (...4373),TST* SORRY NOT SORRY,,-22.06,,Shared
2026-03-16,Cafe Telegrama,Coffee Shops,Venture X (...4373),SQ *CAFE TELEGRAMA,,-64.23,,Shared
2026-03-16,Melody Lounge,Restaurants & Bars,Venture X (...4373),Melody Lounge,,-42.16,,Shared
2026-03-16,East Fork,Restaurants & Bars,Venture X (...4373),SP EAST FORK,,-194.63,,Shared
2026-03-15,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH BENSFASTF,,-23.03,,Shared
2026-03-15,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-64.55,,Shared
2026-03-15,Github,Education,CREDIT CARD (...6714),"GITHUB, INC.",,-4.00,,Shared
2026-03-15,Zelle,Transfer,Primary Checking (...3910),Zelle payment from KATRINA LAURON 28450776578,,1235.00,,Shared
2026-03-14,Japanticket Inc,Entertainment & Recreation,CREDIT CARD (...6714),JAPANTICKET INC,,-113.22,,Shared
2026-03-14,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH MENDOCINO,,-34.60,,Shared
2026-03-14,Fidelity,Transfer,Primary Checking (...3910),FID BKG SVC LLC MONEYLINE PPD ID: 0368004600,,-500.00,,Shared
2026-03-14,LADOT Parking,Parking & Tolls,Blue Cash Preferred® (...4000),LADOT METER PARKING LOS ANGELES CA,,-1.50,,Shared
2026-03-14,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-1.99,,Shared
2026-03-14,Uber Eats,Restaurants & Bars,Venture X (...4373),UBER EATS* EATS,,-58.57,,Shared
2026-03-14,Interest Payment,Interest,High Yield Savings Account (...9020),Interest Payment,,0.12,,Shared
2026-03-13,Japanticket Inc,Business Income,CREDIT CARD (...6714),JAPANTICKET INC,,75.47,,Shared
2026-03-13,City Hall Garage,Parking & Tolls,CREDIT CARD (...6714),ABM PARKING CITY HALL GAR,,-11.00,,Shared
2026-03-13,Chase Bank Account Deposit,Other Income,Liquid House Down Payment (...3094),Chase Bank (Account ****3910) Deposit DEPOSIT,,500.00,,Shared
2026-03-13,Japanticket Inc,Entertainment & Recreation,CREDIT CARD (...6714),JAPANTICKET INC,,-76.03,,Shared
2026-03-13,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH TAKEOUTSU,,-46.54,,Shared
2026-03-13,Crypto Arena Premium,Entertainment & Recreation,CREDIT CARD (...6714),1CRYPTO ARENA PREMIUM,,-18.00,,Shared
2026-03-13,Uber,Taxi & Ride Shares,CREDIT CARD (...6714),UBER   *TRIP,,-31.99,,Shared
2026-03-13,Whole Foods,Groceries,Blue Cash Preferred® (...4000),WHOLEFDS FFX 10177 0LOS ANGELES CA,,-16.29,,Shared
2026-03-13,Internal Revenue Service,Other Income,Primary Checking (...3910),IRS TREAS 310 TAX REF PPD ID: 9111736946,,5986.00,,Shared
2026-03-13,Wealthfront,Transfer,Primary Checking (...3910),Wealthfront EDI PYMNTS 873593BE62DC4F WEB ID: 4271967207,,-500.00,,Shared
2026-03-12,la live,Restaurants & Bars,CREDIT CARD (...6714),LA LIVE,,-44.00,,Shared
2026-03-12,Klook Travel Technology,Travel & Vacation,CREDIT CARD (...6714),Klook Travel Technology U,,-151.40,,Shared
2026-03-12,Klook Travel Technology,Travel & Vacation,CREDIT CARD (...6714),Klook Travel Technology U,,151.40,,Shared
2026-03-12,Uber Eats,Restaurants & Bars,Venture X (...4373),UBER *EATS,,-10.77,,Shared
2026-03-12,le saint honore,Personal,Venture X (...4373),SQ *LE SAINT-HONORE,,-13.00,,Shared
2026-03-12,Tommy and Atticus,Clothing,Venture X (...4373),TOMMY AND ATTICUS,,-21.00,,Shared
2026-03-12,Zelle,Transfer,Primary Checking (...3910),Zelle payment from KATRINA LAURON 28407666789,,500.00,,Shared
2026-03-11,Smart Ex Tokyo,Travel & Vacation,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-153.14,,Shared
2026-03-11,Smart Ex Tokyo,Gas,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-114.85,,Shared
2026-03-11,Smart Ex Tokyo,Gas,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-76.57,,Shared
2026-03-11,Smart Ex Tokyo,Gas,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-76.57,,Shared
2026-03-11,Smart Ex Tokyo,Gas,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-76.57,,Shared
2026-03-11,Smart Ex Tokyo,Travel & Vacation,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,76.57,,Shared
2026-03-11,Smart Ex Tokyo,Gas,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-38.28,,Shared
2026-03-11,Smart Ex Tokyo,Shopping,Blue Cash Preferred® (...4000),JRC SMART EX TOKYO JP,,-4.04,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,2.06,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-4.13,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-3.10,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-2.06,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-2.06,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-2.06,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-1.03,,Shared
2026-03-11,Foreign Transaction Fee,Financial Fees,Blue Cash Preferred® (...4000),FOREIGN TRANSACTION FEE,,-0.10,,Shared
2026-03-11,Anthropic,AI,CREDIT CARD (...6714),CLAUDE.AI SUBSCRIPTION,,-100.00,,Shared
2026-03-11,Dome Parking Structure,Parking & Tolls,Venture X (...4373),DOME PARKING STRUCTURE,,-3.00,,Shared
2026-03-11,Final Draft,Shopping,Venture X (...4373),SQ *FINAL DRAFT,,-123.36,,Shared
2026-03-11,Invbanktran Credit Deposit 3/6/2026 Payroll Contribution,Uncategorized,Retirement - Traditional 401(k) (...9455),INVBANKTRAN CREDIT Deposit 3/6/2026 Payroll Contribution,,1163.08,,Shared
2026-03-11,Buystock Buy Purchase of Vanguard Total Stock Market Etf,Retirement,Retirement - Traditional 401(k) (...9455),BUYSTOCK BUY Purchase of Vanguard Total Stock Market ETF,,-1163.08,,Shared
2026-03-10,Ralphs,Groceries,Blue Cash Preferred® (...4000),RALPHS LOS ANGELES CA,,-4.89,,Shared
2026-03-10,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-69.99,,Shared
2026-03-10,Uber Eats,Restaurants & Bars,Venture X (...4373),UBER *EATS,,-44.01,,Shared
2026-03-09,Whole Foods,Groceries,Blue Cash Preferred® (...4000),WHOLEFDS FFX 10177 0LOS ANGELES CA,,-81.85,,Shared
2026-03-09,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-55.27,,Shared
2026-03-09,HP Instant Ink,Office Supplies & Expenses,CREDIT CARD (...6714),HP *INSTANT INK,,-8.55,,Shared
2026-03-09,Airbnb,Travel & Vacation,CREDIT CARD (...6714),AIRBNB * HMNWPXJMES,,2565.44,,Shared
2026-03-09,Jjukku Jjukku BBQ,Restaurants & Bars,CREDIT CARD (...6714),JJUKKU JJUKKU BBQ,,-447.04,,Shared
2026-03-09,Sorry Not Sorry,Restaurants & Bars,Venture X (...4373),TST* SORRY NOT SORRY,,-240.04,,Shared
2026-03-09,Max and Helens,Restaurants & Bars,Venture X (...4373),TST*MAX AND HELENS,,-127.79,,Shared
2026-03-09,Tondo,Restaurants & Bars,Venture X (...4373),TST*TONDO,,-43.14,,Shared
2026-03-08,Juice It Up!,Restaurants & Bars,CREDIT CARD (...6714),TST* JUICE IT UP - 2355 -,,-10.19,,Shared
2026-03-08,Comet Over Delphi,Coffee Shops,CREDIT CARD (...6714),SQ *COMET OVER DELPHI,,-6.49,,Shared
2026-03-08,Salted Butter Company,Restaurants & Bars,CREDIT CARD (...6714),SQ *SALTED BUTTER COMPANY,,-34.80,,Shared
2026-03-07,Out of Ordi,Restaurants & Bars,CREDIT CARD (...6714),TST* OUT OF ORDI,,-17.50,,Shared
2026-03-07,Rasarumah,Charity,CREDIT CARD (...6714),RASARUMAH,,-120.00,,Shared
2026-03-07,US Department of Education,Student Loans,Primary Checking (...3910),DEPT EDUCATION STUDENT LN PPD ID: 9102001001,,-0.11,,Shared
2026-03-07,Ipostal Storage,Postage & Shipping,CREDIT CARD (...6714),IPOSTAL*STORAGE,,-1.10,,Shared
2026-03-07,Travel Credit Year,Travel & Vacation,CREDIT CARD (...6714),TRAVEL CREDIT $300/YEAR,,183.87,,Shared
2026-03-07,Airbnb,Travel & Vacation,CREDIT CARD (...6714),AIRBNB * HMR23TXKZ5,,-2861.11,,Shared
2026-03-07,LADOT Parking,Parking & Tolls,Venture X (...4373),LADOT METER PARKING,,-3.00,,Shared
2026-03-07,City Hall Garage,Parking & Tolls,Venture X (...4373),ABM PARKING CITY HALL GAR,,-8.00,,Shared
2026-03-07,Emporium Thai Market,Groceries,Venture X (...4373),SQ *EMPORIUM THAI MARKET,,-368.76,,Shared
2026-03-06,Google One,Miscellaneous,CREDIT CARD (...6714),GOOGLE *Google One,,-2.99,,Shared
2026-03-06,LADOT Parking,Parking & Tolls,Blue Cash Preferred® (...4000),LADOT METER PARKING LOS ANGELES CA,,-1.50,,Shared
2026-03-06,Contribution,Uncategorized,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,31.73,,Shared
2026-03-06,Contribution,Uncategorized,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,602.89,,Shared
2026-03-06,Black Tux Payroll,Paychecks,Primary Checking (...3910),309955 BLACK TUX PAYROLL PPD ID: 2364227403,,4666.11,,Shared
2026-03-06,California Franchise Tax Board,Other Income,Primary Checking (...3910),FRANCHISE TAX BD CASTTAXRFD PPD ID: 9282532045,,3240.00,,Shared
2026-03-06,Tesla ,Auto Payment,Primary Checking (...3910),TESLA MOTORS TESLA MOTO 2VX4YBYK89ESH99 WEB ID: 5912197729,,-108.65,,Shared
2026-03-05,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH TAKEOUTSU,,-54.62,,Shared
2026-03-05,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-85.13,,Shared
2026-03-05,Opvs Fitness,Fitness,CREDIT CARD (...6714),OPVS FITNESS,,-170.24,,Shared
2026-03-05,Interest Payment,Interest,CHASE SAVINGS (...3060),INTEREST PAYMENT,,0.02,,Shared
2026-03-05,Navy Federal Credit Union,Loan Repayment,Primary Checking (...3910),NFCU ACH PAYMENT 299724510000002 WEB ID: 9000000024,,-2500.00,,Shared
2026-03-04,Target,Shopping,Blue Cash Preferred® (...4000),TARGET GARDENA CA,,-34.39,,Shared
2026-03-04,Online Deposit,Paychecks,Primary Checking (...3910),REMOTE ONLINE DEPOSIT # 1,,2705.84,,Shared
2026-03-04,US Department of Education,Student Loans,Primary Checking (...3910),DEPT EDUCATION STUDENT LN 6RNRJBM6C11 WEB ID: 9102001002,,-1059.27,,Shared
2026-03-04,Groundwork Coffee Co.,Coffee Shops,Venture X (...4373),TST*GROUNDWORK COFFEE CO,,-40.20,,Shared
2026-03-04,Spectrum,Internet & Cable,Venture X (...4373),Spectrum,,-111.25,,Shared
2026-03-03,Redemption From Core Account Fidelity Government Money Market (Spaxx) Morning Trade (Cash),Uncategorized,Individual - TOD (...*****4709),REDEMPTION FROM CORE ACCOUNT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) MORNING TRADE (Cash),,499.89,,Shared
2026-03-03,Interest Paid,Interest,Savings Account (...3730),Interest Paid,,2.60,,Shared
2026-03-03,Barra Santos,Restaurants & Bars,Venture X (...4373),TST*BARRA SANTOS,,-268.85,,Shared
2026-03-02,Automated Transaction,Uncategorized,Individual Investment Account (...4792),automated transaction -,,0.57,,Shared
2026-03-02,Automated Transaction,Uncategorized,Individual Investment Account (...4792),automated transaction -,,0.04,,Shared
2026-03-02,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-48.54,,Shared
2026-03-02,Apple,Credit Card Payment,Primary Checking (...3910),APPLECARD GSBANK PAYMENT 21440132 WEB ID: 9999999999,,-54.12,,Shared
2026-03-02,United Fin Cas Insurance Premium Alvin Web,Insurance,Primary Checking (...3910),UNITED FIN CAS INS PREM 977484851 Alvin WEB ID: 9409348062,,-517.20,,Shared
2026-03-02,LADOT Parking,Parking & Tolls,Venture X (...4373),LADOT PARKING CITATION,,-70.00,,Shared
2026-03-02,Yala Silverlake Llc,Shopping,Venture X (...4373),SQ *YALA SILVERLAKE LLC,,-34.20,,Shared
2026-03-02,Yama Sushi Marketplac,Restaurants & Bars,Venture X (...4373),SQ *YAMA SUSHI MARKETPLAC,,-64.63,,Shared
2026-03-02,Brady Campaign to Prevent,Charity,Venture X (...4373),BRADY CAMPAIGN TO PREVENT,,-25.00,,Shared
2026-03-02,Contribution,Uncategorized,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,31.73,,Shared
2026-03-02,Contribution,Uncategorized,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,602.89,,Shared
2026-03-02,Electronic Funds Transfer Received (Cash),Uncategorized,Individual - TOD (...*****4709),Electronic Funds Transfer Received (Cash),,500.00,,Shared
2026-03-02,You Bought Invesco QQQ Tr Unit Ser 1 (Qqq) (Cash),Buy,Individual - TOD (...*****4709),YOU BOUGHT INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash),,-499.89,,Shared
2026-03-02,Purchase Into Core Account Fidelity Government Money Market (Spaxx) Morning Trade (Cash),Uncategorized,Individual - TOD (...*****4709),PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) MORNING TRADE (Cash),,-500.00,,Shared
2026-03-02,Fee Automated Transaction Advisory Fee,Financial Fees,Individual Investment Account (...4792),fee automated transaction Advisory Fee,,-0.44,,Shared
2026-03-02,February Interest Payment Paid,Interest,Liquid House Down Payment (...3094),February interest Interest payment PAID_INTEREST,,0.42,,Shared
2026-03-02,February Interest Payment Paid,Interest,Emergency Funds (...1698),February interest Interest payment PAID_INTEREST,,76.45,,Shared
2026-03-01,Amazon,Shopping,CREDIT CARD (...6714),AMAZON MKTPL*B959R6QX0,,-52.68,,Shared
2026-03-01,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-31.22,,Shared
2026-02-28,Fidelity,Transfer,Primary Checking (...3910),FID BKG SVC LLC MONEYLINE PPD ID: 0368004600,,-500.00,,Shared
2026-02-28,Best Buy,Electronics,CREDIT CARD (...6714),BESTBUYCOM807151292442,,-893.88,,Shared
2026-02-28,Whole Foods,Groceries,Blue Cash Preferred® (...4000),WHOLEFDS FFX 10177 0LOS ANGELES CA,,-96.80,,Shared
2026-02-28,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 033597LOS ANGELES CA,,-41.05,,Shared
2026-02-28,YouTube,Entertainment & Recreation,CREDIT CARD (...6714),GOOGLE *YouTubePremium,,-22.99,,Shared
2026-02-27,Chase Bank Account Deposit,Other Income,Liquid House Down Payment (...3094),Chase Bank (Account ****3910) Deposit DEPOSIT,,2000.00,,Shared
2026-02-27,Wayfarer Bread,Restaurants & Bars,CREDIT CARD (...6714),SQ *WAYFARER BREAD,,-33.02,,Shared
2026-02-27,Tesla ,Gas,CREDIT CARD (...6714),TESLA SUPERCHARGER US,,-25.00,,Shared
2026-02-27,Ipostal Renewal,Postage & Shipping,CREDIT CARD (...6714),IPOSTAL*RENEWAL,,-9.99,,Shared
2026-02-27,Zutra Water Lincoln,Water,Blue Cash Preferred® (...4000),ZUTRA WATER LINCOLN HEIGH CA,,-33.69,,Shared
2026-02-27,Zelle,Transfer,Primary Checking (...3910),Zelle payment from KATRINA LAURON 28221528534,,3332.92,,Shared
2026-02-27,Zelle,Transfer,Primary Checking (...3910),Zelle payment from KATRINA LAURON 28221497117,,500.00,,Shared
2026-02-27,ATM Withdrawal,Cash & ATM,Primary Checking (...3910),ATM WITHDRAWAL 006209 02/262245 OTAY,,-870.00,,Shared
2026-02-27,Fidelity,Transfer,Primary Checking (...3910),FID BKG SVC LLC MONEYLINE PPD ID: 0368004600,,-1000.00,,Shared
2026-02-27,Wealthfront,Transfer,Primary Checking (...3910),Wealthfront EDI PYMNTS C285CF6FDB2A4E WEB ID: 4271967207,,-2000.00,,Shared
2026-02-27,Electronic Funds Transfer Received (Cash),Uncategorized,Individual - TOD (...*****4709),Electronic Funds Transfer Received (Cash),,1000.00,,Shared
2026-02-27,Dividend Received Fidelity Government Money Market (Spaxx) (Cash),Dividends & Capital Gains,Individual - TOD (...*****4709),DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),,0.32,,Shared
2026-02-27,Reinvestment Fidelity Government Money Market (Spaxx) (Cash),Buy,Individual - TOD (...*****4709),REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),,-0.32,,Shared
2026-02-27,Purchase Into Core Account Fidelity Government Money Market (Spaxx) Morning Trade (Cash),Uncategorized,Individual - TOD (...*****4709),PURCHASE INTO CORE ACCOUNT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) MORNING TRADE (Cash),,-1000.00,,Shared
2026-02-26,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH BETTERBUZ,,-22.16,,Shared
2026-02-26,Citizens Bank and Trust,Transfer,Primary Checking (...3910),"FEDWIRE CREDIT VIA: FIRST CITIZENS BANK AND TRUST CO. (/121140399 B/O: FASHIONOS.AI, INC. US/LOS ANGELES, CA 90048 REF: CHASE NYC/CTR/BNF=ALVIN JEROME O BALMEO LOS ANGELES CA 90020-4608 US/A C-000000001373 RFB=NOTPROVIDED OBI=/URI/TECHNICAL WORK ALVIN BALMEO IMAD: 0226L1B77D1C000710 TRN: 0114191057FF",,4600.00,,Shared
2026-02-26,Wire Fee,Financial Fees,Primary Checking (...3910),DOMESTIC INCOMING WIRE FEE,,-15.00,,Shared
2026-02-26,At Hollyhock House,Restaurants & Bars,Venture X (...4373),AT *HOLLYHOCK HOUSE,,-24.00,,Shared
2026-02-25,Bonappetit Digital,Restaurants & Bars,CREDIT CARD (...6714),BONAPPETIT - DIGITAL S,,-6.00,,Shared
2026-02-25,Invbanktran Credit Deposit 2/20/2026 Payroll Contribution,Uncategorized,Retirement - Traditional 401(k) (...9455),INVBANKTRAN CREDIT Deposit 2/20/2026 Payroll Contribution,,1163.08,,Shared
2026-02-25,Buystock Buy Purchase of Vanguard Total Stock Market Etf,Retirement,Retirement - Traditional 401(k) (...9455),BUYSTOCK BUY Purchase of Vanguard Total Stock Market ETF,,-1163.08,,Shared
2026-02-24,DoorDash,Restaurants & Bars,CREDIT CARD (...6714),DD *DOORDASH HABITBURG,,-51.36,,Shared
2026-02-24,Target,Shopping,Blue Cash Preferred® (...4000),TARGET 018150CHULA VISTA CA,,-46.58,,Shared
2026-02-24,Venmo,Transfer,Primary Checking (...3910),VENMO PAYMENT 1048506333678 WEB ID: 3264681992,,-17.00,,Shared
2026-02-24,Chase,Credit Card Payment,Primary Checking (...3910),Payment to Chase card ending in 6714 02/24,,-2915.49,,Shared
2026-02-24,Capital One,Credit Card Payment,Primary Checking (...3910),CAPITAL ONE ONLINE PMT CA0425E359935C4 WEB ID: 9279744391,,-4013.79,,Shared
2026-02-24,American Express,Credit Card Payment,Primary Checking (...3910),AMERICAN EXPRESS ACH PMT W9230 WEB ID: 2005032111,,-896.99,,Shared
2026-02-24,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-82.97,,Shared
2026-02-24,Payment,Credit Card Payment,Blue Cash Preferred® (...4000),ONLINE PAYMENT - THANK YOU,,896.99,,Shared
2026-02-24,Payment,Other Income,CREDIT CARD (...6714),Payment Thank You - Web,,2915.49,,Shared
2026-02-24,Capital One,Credit Card Payment,Venture X (...4373),CAPITAL ONE ONLINE PYMT,,4013.79,,Shared
